Symbol,Days_Traded
BGM,242
TBN,238
SW,232
FLG,228
MACI,225
TWFG,224
OS,220
NVA,220
FDSB,214
ALF,214
CUB,208
CEP,206
FSHP,204
GRAF,203
SIMA,193
LPAA,192
PTHL,190
PMVC,188
GIG,186
EURK,185
DTSQ,183
AAM,183
CTEV,178
MBAV,178
CURB,175
BKV,175
EQV,174
VACH,173
SOBO,170
SBXD,168
HOND,165
FBLA,156
CAPN,155
ECG,153
POLE,153
VCIC,153
FVN,148
MDU,148
SNRE,148
YHNA,144
HTO,144
PRMB,143
TLX,140
VENU,131
CHAR,131
CCIR,129
BACQ,129
RDAC,129
DYNX,124
ALDF,120
OACC,119
BEAG,119
GSRT,116
FACT,115
NTWO,111
WLAC,110
TVRD,109
ASPC,107
CEPO,105
RANG,102
NOEM,99
MRP,95
AAPG,94
AIFE,93
MSIF,93
JACS,90
BBNX,90
MAZE,89
INR,89
PLMK,89
DRDB,88
MLAC,88
HSPT,86
HVII,85
TIC,82
TDAC,80
RHLD,76
DMAA,73
RIBB,65
COLA,59
SVCC,54
EPSM,51
CRWV,50
ATII,46
AACB,44
NHIC,36
LOKV,35
RAC,35
FERA,35
LIMN,27
CEPT,26
STRZ,23
AII,22
AHL,22
GSHR,20
QSEA,20
DEFR,18
ANTA,18
ETOR,18
TVA,16
GLXY,16
BOBP,13
HNGE,12
MNTN,12
UYSC,10
KG,9
