Symbol,Price_Increase_Percentage,Screeners,Volume-Acceleration(%),RSI_12M,RSI_3M,Nr_Of_Spikes,MVP_Last_6Mo,Price_Tightness_1W,RSI_6M,Days_Traded
PTHL,1343.1818181818182,7,180.04,89.92918961447678,89.92918961447678,1,,70.78740157480314,89.92918961447678,190
CTEV,752.2916666666667,7,,90.04360465116278,85.79351535836179,1,1,11.708628697140062,90.04360465116278,178
LIMN,506.3636363636364,5,,90.5016447368421,90.5016447368421,,,82.94602698650675,90.5016447368421,27
CEP,498.09809809809803,6,397.02,98.23992589161648,98.23992589161648,,,27.02928870292886,98.23992589161648,206
BGM,489.28571428571433,5,,86.42384105960264,85.30612244897961,,,17.071428571428577,86.42384105960264,242
CRWV,397.25455088033425,6,,91.3682277318641,91.3682277318641,1,,31.584948688711517,91.3682277318641,50
NVA,336.7816091954023,6,,90.45801526717557,85.84229390681007,1,,16.073871409028726,85.84229390681007,220
EPSM,309.0487238979119,6,,98.6815415821501,98.6815415821501,,1,17.396247868106883,98.6815415821501,51
RHLD,207.64835164835165,5,,79.48068397720078,79.48068397720078,,,14.39295884027958,79.48068397720078,76
STRZ,187.25,5,,81.78466076696165,81.78466076696165,,,31.505657093124455,81.78466076696165,23
BBNX,175.59055118110234,6,,77.70326906957251,77.70326906957251,1,,18.32098765432099,77.70326906957251,90
TVRD,175.5823293172691,6,81.31,85.20710059171593,81.92681105302465,,,23.11879602945885,85.20710059171593,109
ANTA,172.03140333660454,5,,54.036598493003225,54.036598493003225,,,26.517571884984026,54.036598493003225,18
MAZE,153.3532041728763,5,,74.46592065106816,74.46592065106816,,,30.0,74.46592065106816,89
ECG,148.37476099426388,5,,95.53372041089773,95.53372041089773,,,8.917609046849751,95.53372041089773,153
TLX,123.07127112417339,5,,87.10280373831779,84.01048492791614,,,10.038610038610042,87.10280373831779,140
TBN,119.04761904761905,5,,88.39406207827261,73.87862796833774,,,13.086956521739138,88.39406207827261,238
OS,112.04313960455362,5,,94.38700147710479,92.1302578018996,,,7.282535401213757,92.1302578018996,220
MRP,87.10526315789473,5,,81.90591073582632,81.90591073582632,,,2.0349875044626926,81.90591073582632,95
VENU,86.09929078014183,6,,84.65909090909092,84.65909090909092,1,,16.666666666666664,84.65909090909092,131
AAPG,81.63636363636363,5,,78.63695937090434,78.63695937090434,,,18.051384718051384,78.63695937090434,94
KG,79.42467089224766,2,,,,,,32.46624958840961,,9
BKV,78.53333333333335,5,,84.1444270015698,84.1444270015698,,,5.729396209784049,84.1444270015698,175
TWFG,72.92351008916003,5,,84.32835820895521,78.99999999999994,,,6.0515603799186,78.99999999999994,224
INR,68.62170087976538,5,,85.07462686567162,80.89005235602093,,,9.42970073404857,85.07462686567162,89
TIC,63.19999999999999,6,57.42,68.15068493150686,68.15068493150686,,,12.315698178664354,68.15068493150686,82
MNTN,56.5028901734104,2,,,,,,12.663919070813048,,12
FLG,55.957943925233636,5,,91.69960474308304,91.69960474308304,,,7.800829875518682,91.69960474308304,228
SW,53.98540934882465,5,,92.89289289289283,72.71872060206962,,,5.248868778280543,72.71872060206962,232
MSIF,50.74999999999999,5,,96.523178807947,72.93577981651376,,,14.206744057490328,96.523178807947,93
GLXY,47.85992217898835,5,,41.168831168831176,41.168831168831176,,,13.866540463795552,41.168831168831176,16
FDSB,47.20812182741117,5,,94.33962264150954,73.05699481865287,,,8.235294117647065,78.3018867924528,214
PRMB,46.866038508807875,6,55.61,87.83216783216785,87.83216783216785,,,12.439467312348667,87.83216783216785,143
CURB,36.64893617021277,5,,94.27480916030527,73.81615598885793,,,4.673301601038505,94.27480916030527,175
MDU,35.638297872340424,5,,90.63063063063063,76.15894039735096,,,4.1087962962963,76.15894039735096,148
