Date,Symbol,BanDurationInWeeks
2025-03-19,PCSC,12
2025-03-19,GPAT,12
2025-03-19,LPBB,12
2025-03-19,ATIIU,12
2025-03-19,MAYA,12
2025-03-19,KFII,12
2025-03-19,RFAI,12
2025-03-19,AACBU,12
2025-03-19,PDCC,12
2025-03-19,CCIX,12
2025-03-19,KBDC,12
2025-03-20,G,12
2025-03-21,TRGP,12
2025-03-24,LXEH,12
2025-03-24,FNA,12
2025-03-24,BHAC,12
2025-04-02,LX,12
2025-04-05,BECN,24
2025-04-05,K,48
2025-04-05,FYBR,24
2025-04-05,FUSB,48
2025-04-05,PRA,24
2025-04-05,LNSR,12
2025-04-05,RDUS,12
2025-04-16,PDCO,48
2025-04-15,EVRI,48
2025-04-18,AIMAU,48
2025-04-19,NYC,48
2025-04-19,BLX,48
2025-05-05,SKWD,12
2025-05-05,BUJA,12
2025-05-05,SPNT,12
2025-05-05,FCAP,12
2025-05-05,RBLX,12
2025-05-05,ETON,12
2025-05-05,T,12
2025-05-05,GRND,12
2025-05-05,VRNA,12
2025-05-05,BRBR,12
2025-05-05,ESLT,12
2025-05-05,SFM,12
2025-05-05,AKRO,12
2025-05-05,DGICA,12
2025-05-05,AXS,12
2025-05-05,SLNO,12
2025-05-05,TISI,12
2025-05-05,NI,12
2025-05-05,CAE,12
2025-05-05,ODD,12
2025-05-05,TIGO,12
2025-05-05,TFPM,12
2025-05-05,EBTC,12
2025-05-05,NUTX,12
2025-05-05,PM,12
2025-05-05,QURE,12
2025-05-05,HMY,12
2025-05-05,DB,12
2025-05-05,MRCY,12
2025-05-05,COOP,12
2025-05-05,TPB,12
2025-05-05,KGC,12
2025-05-05,CRK,12
2025-05-05,LARK,12
2025-05-05,DRI,12
2025-05-05,RBA,12
2025-05-05,EPWK,12
2025-05-05,PHH,12
2025-05-05,ZYBT,12
2025-05-05,NTCL,12
2025-05-05,SKBL,12
2025-05-05,MTSR,12
2025-05-05,ACTU,12
2025-05-05,GRDN,12
2025-05-05,INGM,12
2025-05-05,TTAM,12
2025-05-05,SARO,12
2025-05-05,TTAN,12
2025-05-05,LTM,12
2025-05-05,KRMN,12
2025-05-05,CBNA,12
2025-05-05,CON,12
2025-05-05,NPB,12
2025-05-05,KMTS,12
2025-05-05,SFD,12
2025-05-05,SMA,12
2025-05-05,QSEAU,12
2025-05-05,JNVR,12
2025-05-05,YOSH,12
2025-05-05,JUNE,12
2025-05-05,ATEC,12
2025-05-05,PCRX,12
2025-05-05,RBRK,12
2025-05-05,NPCE,12
2025-05-05,MRX,12
2025-05-05,WAY,12
2025-05-05,MLYS,12
2025-05-05,OVBC,12
2025-05-05,CSPI,12
2025-05-05,LQDA,12
2025-05-05,NATH,12
2025-05-05,TPR,12
2025-05-05,CAH,12
2025-05-05,SONY,12
2025-05-05,HNRG,12
2025-05-05,BNTC,12
2025-05-05,SAP,12
2025-05-05,SE,12
2025-05-05,CBNK,12
2025-05-05,BCS,12
2025-05-05,NRG,12
2025-05-05,TGTX,12
2025-05-05,ACNT,12
2025-05-05,UVE,12
2025-05-05,EXEL,12
2025-05-05,SRBK,12
2025-05-05,ALKS,12
2025-05-05,NIC,12
2025-05-05,NWG,12
2025-05-05,FNV,12
2025-05-05,TRP,12
2025-05-05,RBKB,12
2025-05-05,SNEX,12
2025-05-05,BKTI,12
2025-05-05,BBUC,12
2025-05-05,DAVE,12
2025-05-05,SLM,12
2025-05-05,ESQ,12
2025-05-05,IFS,12
2025-05-05,ARQT,12
2025-05-05,CNP,12
2025-05-05,AHR,12
2025-05-05,CXW,12
2025-05-05,NGVC,12
2025-05-05,HCI,12
2025-05-05,LRN,12
2025-05-05,GENI,12
2025-05-05,DXPE,12
2025-05-05,CPRX,12
2025-05-05,URBN,12
2025-05-05,IMAX,12
2025-05-05,WELL,12
2025-05-05,CDTX,12
2025-05-05,GPOR,12
2025-05-05,IDR,12
2025-05-05,NTNX,12
2025-05-05,UFCS,12
2025-05-05,UGI,12
2025-05-05,FRAF,12
2025-05-05,SENEA,12
2025-05-05,PLTR,12
2025-05-05,CSV,12
2025-05-05,ASA,12
2025-05-05,SMMT,12
2025-05-05,THFF,12
2025-05-05,KINS,12
2025-05-05,NYAX,12
2025-05-05,BBIO,12
2025-05-05,HWM,12
2025-05-05,BHF,12
2025-05-05,CEE,12
2025-05-05,WHG,12
