Symbol,Date,Eps,Revenue
AEE,2024-12-31,0.77,1941.0
AEE,2024-09-30,1.71,2173.0
AEE,2024-06-30,0.97,1693.0
AEE,2024-03-31,0.98,1816.0
AEE,2023-12-31,0.6,1618.0
AEE,2023-09-30,1.88,2060.0
AEE,2023-06-30,0.9,1760.0
AEE,2023-03-31,1.01,2062.0
AEE,2022-12-31,0.63,2046.0
AEE,2022-09-30,1.75,2306.0
AEE,2022-06-30,0.8,1726.0
AEE,2022-03-31,0.98,1879.0
AEE,2021-12-31,0.48,1545.0
AEE,2021-09-30,1.66,1811.0
AEE,2021-06-30,0.81,1472.0
AEE,2021-03-31,0.92,1566.0
AEE,2020-12-31,0.47,1328.0
AEE,2020-09-30,1.48,1628.0
AEE,2020-06-30,0.99,1398.0
AEE,2020-03-31,0.59,1440.0
AEE,2019-12-31,0.38,1316.0
AEE,2019-09-30,1.48,1659.0
AEE,2019-06-30,0.73,1379.0
AEE,2019-03-31,0.78,1556.0
AEE,2018-12-31,0.28,1419.0
AEE,2018-09-30,1.46,1724.0
AEE,2018-06-30,0.98,1563.0
AEE,2018-03-31,0.62,1585.0
AEM,2024-12-31,1.02,2223.7
AEM,2024-09-30,1.13,2155.609
AEM,2024-06-30,0.95,2076.621
AEM,2024-03-31,0.7,1829.823
AEM,2023-12-31,-0.77,1756.64
AEM,2023-09-30,0.36,1642.411
AEM,2023-06-30,0.66,1718.197
AEM,2023-03-31,3.87,1509.661
AEM,2022-12-31,0.45,1384.719
AEM,2022-09-30,0.17,1449.697
AEM,2022-06-30,0.61,1581.058
AEM,2022-03-31,0.29,1325.688
AEM,2021-12-31,0.41,949.101
AEM,2021-09-30,0.47,974.065
AEM,2021-06-30,0.78,966.32
AEM,2021-03-31,0.56,934.392
AEM,2020-12-31,0.85,928.448
AEM,2020-09-30,0.92,980.612
AEM,2020-06-30,0.44,557.175
AEM,2020-03-31,-0.09,671.878
AEM,2019-12-31,1.39,753.099
AEM,2019-09-30,0.32,682.959
AEM,2019-06-30,0.12,526.611
AEM,2019-03-31,0.16,532.223
AEM,2018-12-31,-1.68,537.821
AEM,2018-09-30,0.07,518.683
AEM,2018-06-30,0.02,556.282
AEM,2018-03-31,0.19,578.435
AGI,2024-12-31,0.21,375.8
AGI,2024-09-30,0.2,360.9
AGI,2024-06-30,0.18,332.6
AGI,2024-03-31,0.11,277.6
AGI,2023-12-31,0.12,254.6
AGI,2023-09-30,0.1,256.2
