Symbol,RSI_6M
BMO,100.0
DMYY,100.0
DGICB,100.0
PCLB,100.0
UI,100.0
SENEB,100.0
GTPS,100.0
ATROB,99.83766233766237
MTZ,99.74153528043419
WOR,99.411331861663
SVT,99.19072025896955
ZS,98.95470383275263
AL,98.77955758962621
PINC,98.77149877149884
NRDBY,98.61751152073735
JBL,98.59783301465903
IRTC,98.55828983345765
CW,98.45367252774659
DUOL,98.24372056514915
MSTR,98.17460317460323
UBOH,98.09885931558932
BA,97.78046811945124
MOS,97.7203647416413
GTX,97.67441860465115
TGI,97.66081871345034
ONC,97.54929058411648
CFSB,97.25806451612901
TT,97.24236431553506
AEVA,97.07357859531773
DOMO,97.01492537313433
TPC,97.01219512195122
FTK,96.81668496158068
DBSDY,96.79658302189004
VRSN,96.72645739910318
HIMS,96.65871121718378
CYD,96.61368348306843
CIVB,96.530612244898
SWTX,96.27766599597588
APG,96.17058311575285
UVV,96.04519774011298
MTEN,95.84120982986768
CLBR,95.83333333333336
GHRS,95.64393939393939
DAN,95.60878243512973
ULS,95.56962025316463
GRPN,95.54655870445347
EQH,95.54597701149423
FROG,95.50359712230215
CAR,95.44666088464881
RNMBY,95.44198895027627
CSGS,95.3846153846154
ALMU,95.26387009472258
LLYVK,95.0
OPOF,94.91298527443102
CMP,94.89559164733177
ESLOY,94.88372093023258
LYV,94.77054429028807
KFS,94.75982532751095
QNTM,94.7242206235012
FORTY,94.62851405622487
NFLX,94.52336448598132
TTMI,94.50457951706908
FHI,94.42934782608691
LFCBY,94.40000000000006
WWD,94.2355117139334
SBS,94.14758269720109
CNL,94.12955465587045
OPFI,94.04761904761904
CVLT,94.04494382022472
CPS,93.9180537772087
EHAB,93.9058171745152
RL,93.89757743023614
SMSMY,93.87755102040816
AXAHY,93.87129724208374
NET,93.7812567949554
AS,93.66120218579233
KT,93.61702127659564
APH,93.53187529083289
LOPE,93.39233038348081
MYTAY,93.29545454545452
CM,93.24675324675322
PAAS,93.13304721030042
CFRUY,93.12267657992564
FNCH,93.11023622047244
CCRD,92.99820466786355
GH,92.95573536411231
TYIDY,92.93048308365597
HCSG,92.82051282051282
CIXXF,92.79279279279264
SPR,92.73182957393486
SXT,92.57903494176368
STN,92.56550883607557
AVGO,92.56249041558044
SIBN,92.55617977528088
ENLT,92.47572815533984
STRL,92.46257098606092
MKL,92.4507251766455
ODC,92.4129353233831
CVNA,92.39750203638339
PLPC,92.39232945614594
ADP,92.386685552408
ADRNY,92.34693877551027
GOGO,92.30769230769232
MCK,92.27053140096614
AXSM,92.25674987264387
FMS,92.05298013245039
ISNPY,92.00913242009136
BAESY,91.87558031569174
NFG,91.82222222222221
FCFS,91.8146718146718
BPMC,91.63750874737579
LZAGY,91.57782515991492
RGLD,91.54481881754619
PVLA,91.4002205071665
TDS,91.33034379671162
CIHKY,91.32602193419743
ONIT,91.25364431486882
AONC,91.19496855345913
ROAD,91.18942731277536
