Symbol,Price_Increase_Percentage,Screeners,RSI_6M,RSI_12M,Price_Tightness_1W,RSI_3M,MVP_Last_6Mo,Nr_Of_Spikes,Volume-Acceleration(%),IBD_RSI
UPXI,1087.2698579694897,6,90.14880952380952,90.14880952380952,25.43171114599686,90.14880952380952,,,722.00,98
MTEN,822.2222222222223,5,95.84120982986768,99.10714285714286,15.524268247499066,95.84120982986768,,,,97
QNTM,781.8111111111111,6,94.7242206235012,94.7242206235012,16.230031948881795,83.80281690140846,,1,,98
SVT,386.02484472049696,6,99.19072025896955,99.19072025896955,0.8306709265175731,99.19072025896955,,,592.31,99
GRPN,332.5161290322581,6,95.54655870445347,95.54655870445347,12.350835322195715,95.54655870445347,,1,,98
GHRS,241.66666666666666,5,95.64393939393939,95.64393939393939,21.714285714285708,78.25059101654847,,,,89
TPC,183.44827586206898,7,97.01219512195122,97.01219512195122,11.192214111922144,97.01219512195122,1,,76.14,94
CMP,179.2276964047936,7,94.89559164733177,94.89559164733177,9.489747257987595,94.89559164733177,1,1,,95
CPS,157.76277724204436,7,93.9180537772087,93.9180537772087,13.399396811719082,93.9180537772087,,2,115.48,93
CTRN,153.69963369963372,6,84.30286241920595,93.7743190661478,24.689575512561373,84.30286241920595,,1,,94
CAR,140.5330372015547,7,95.44666088464881,95.44666088464881,15.41243459526008,95.44666088464881,,1,91.76,92
STRL,123.28342245989306,5,92.46257098606092,99.2467043314501,11.835991761268385,92.46257098606092,,,,94
GOGO,113.29357039822364,7,92.30769230769232,92.30769230769232,12.866242038216566,92.30769230769232,,1,97.00,92
NXT,104.30003233107014,6,84.2627960275019,84.2627960275019,10.383597883597874,84.2627960275019,,1,,90
TYIDY,101.4287862836517,5,92.93048308365597,92.93048308365597,16.951681395615736,92.93048308365597,,,,89
TME,100.0,6,87.42393509127784,87.42393509127784,9.45802337938364,87.42393509127784,,1,,91
