Symbol,RSI_3M
UI,100.0
BMO,100.0
BK,100.0
GTPS,100.0
PCLB,100.0
EYE,99.86301369863011
HWM,99.7639034627492
ICE,99.74380871050383
MTZ,99.74153528043419
SPNT,99.71098265895954
DAVE,99.58613554061044
WOR,99.411331861663
SENEB,99.40711462450591
AER,99.28057553956835
SVT,99.19072025896955
TPR,99.11406423034325
GE,99.04144347335776
NTNX,99.02464065708413
ZS,98.95470383275263
AL,98.77955758962621
ODD,98.77634262406531
PINC,98.77149877149884
NRDBY,98.61751152073735
IRTC,98.55828983345765
CW,98.45367252774659
DUOL,98.24372056514915
MSTR,98.17460317460323
GWRE,98.15317762085836
RDUS,97.89343246592315
MOS,97.7203647416413
GTX,97.67441860465115
FRHC,97.65513974419704
NRG,97.53086419753086
SEZL,97.51945525291829
BBVA,97.4619289340102
SNOW,97.36780258519394
JCI,97.36174530695081
CFSB,97.25806451612901
TT,97.24236431553506
AEVA,97.07357859531773
RBLX,97.03745108999445
TPC,97.01219512195122
IDT,96.88212927756656
FTK,96.81668496158068
DBSDY,96.79658302189004
RBRK,96.76113360323886
CIVB,96.530612244898
JBL,96.35890767230167
AGX,96.32010640656169
LFMD,96.29629629629626
SWTX,96.27766599597588
REVG,96.19289340101518
APG,96.17058311575285
UVV,96.04519774011298
BA,96.03681922781888
LMB,95.89228662711092
FARO,95.88150289017341
MTEN,95.84120982986768
CLBR,95.83333333333336
DAN,95.60878243512973
ULS,95.56962025316463
GRPN,95.54655870445347
FROG,95.50359712230215
DGICB,95.48022598870047
UTI,95.45454545454547
CAR,95.44666088464881
ALMU,95.26387009472258
CTVA,95.20333680917615
KAR,95.10022271714925
GRND,95.01779359430608
LPLA,95.01352463836298
HDB,94.97206703910618
OPOF,94.91298527443102
COE,94.9117341640706
SCHW,94.90566037735843
CMP,94.89559164733177
KFS,94.75982532751095
FORTY,94.62851405622487
NFLX,94.52336448598132
TTMI,94.50457951706908
FHI,94.42934782608691
LFCBY,94.40000000000006
WWD,94.2355117139334
TPB,94.15270018621973
SBS,94.14758269720109
ATROB,94.11764705882364
FNMAS,94.00749063670406
CPS,93.9180537772087
EHAB,93.9058171745152
RL,93.89757743023614
SMSMY,93.87755102040816
AXAHY,93.87129724208374
NET,93.7812567949554
PAYC,93.71268656716417
VRNA,93.70529327610869
BTSG,93.68932038834951
AS,93.66120218579233
KT,93.61702127659564
APH,93.53187529083289
BTI,93.41917024320456
IDCC,93.34269662921348
UGI,93.31103678929779
MYTAY,93.29545454545452
CM,93.24675324675322
HIMS,93.18971507991661
AM,93.18181818181819
PAAS,93.13304721030042
CCRD,92.99820466786355
TYIDY,92.93048308365597
HCSG,92.82051282051282
CIXXF,92.79279279279264
NWG,92.77777777777774
SPR,92.73182957393486
SXT,92.57903494176368
STN,92.56550883607557
AVGO,92.56249041558044
SIBN,92.55617977528088
TGI,92.52336448598116
PAY,92.50749250749251
SFM,92.47774025176538
ENLT,92.47572815533984
STRL,92.46257098606092
MKL,92.4507251766455
ODC,92.4129353233831
AKRO,92.40097008892484
ADP,92.386685552408
ADRNY,92.34693877551027
GOGO,92.30769230769232
MCK,92.27053140096614
AXSM,92.25674987264387
MA,92.13068181818186
PM,92.10167952791656
CHEF,92.09237228831353
LOPE,92.08937198067632
ISNPY,92.00913242009136
ATGE,91.95947402457428
MAG,91.93154034229825
BAESY,91.87558031569174
DOMO,91.87499999999999
AXS,91.86560565870909
BCRX,91.82389937106919
ATRO,91.68157423971378
BPMC,91.63750874737579
LBRDA,91.61836825679895
LZAGY,91.57782515991492
LAUR,91.5520628683693
SLNO,91.54681538009979
RGLD,91.54481881754619
CHWY,91.44811858608894
ENB,91.35618479880776
TDS,91.33034379671162
CIHKY,91.32602193419743
ONIT,91.25364431486882
ROAD,91.18942731277536
TFPM,91.09589041095886
LEU,91.06452572108236
OKLO,90.99125364431488
CAE,90.95607235142131
SLM,90.94292803970222
MIR,90.93264248704672
YARIY,90.87378640776701
ALNT,90.7488986784141
TIGO,90.67894131185272
LINC,90.67641681901283
LBRDK,90.61012548680225
ONC,90.33684210526314
NTB,90.31791907514457
ALIZY,90.29585798816575
HNRG,90.26217228464421
EVRI,90.24390243902386
BMI,90.17763845350053
UPXI,90.14880952380952
QURE,90.13732833957552
USFD,90.06578947368426
NRIM,90.05780346820816
BWFG,90.03931847968548
X,89.95713410900183
NTR,89.94368463395013
T,89.88439306358387
NTDOY,89.88095238095241
PPTA,89.8243045387994
TCI,89.79187314172447
OPFI,89.74358974358974
CICHY,89.58333333333329
SONY,89.51841359773377
INTU,89.43944636678201
IMAX,89.43298969072164
OSIS,89.3073864825277
IBEX,89.2528147389969
HRTG,89.24731182795699
DB,89.24122310305776
CPA,89.23654568210264
FER,89.20233463035015
DMYY,89.15662650602417
MRCY,89.13250714966634
PRDO,89.10550458715596
OMAB,89.10025706940871
V,89.08433734939764
SLF,89.06752411575563
NEU,89.02731912338643
KARO,88.94028595458367
WPM,88.93148059415428
ANPDY,88.8827926753995
RDVT,88.88162197514717
AXON,88.86110242784203
ISBA,88.8349514563108
COOP,88.83169203222917
GBFH,88.80407124681935
DE,88.755980861244
EHC,88.73615883925162
MUFG,88.70967741935496
PAYX,88.67801047120423
CHTR,88.64285011317783
GME,88.5640584694755
QBTS,88.50758180367119
DRI,88.49485652409307
SPCB,88.47457627118645
CNH,88.43283582089556
BJRI,88.41259209645008
CRS,88.34367726920094
FYBR,88.33333333333331
ESQ,88.31282952548331
WTS,88.29259652851579
LI,88.26815642458102
KEP,88.26291079812206
UBOH,88.26086956521728
PODD,88.24008138351982
KGC,88.23529411764703
DSDVY,88.17802503477054
SKWD,88.0918220946916
CBNK,88.09182209469151
CRK,88.0851063829787
ESP,88.00792864222004
NEON,87.98283261802572
BFC,87.95240456122953
FMS,87.93650793650797
IFS,87.9275653923542
MNST,87.91540785498484
GEV,87.88965087281794
SNWV,87.84829721362232
FRFHF,87.83753222669498
EBAY,87.82112274024736
HG,87.53117206982536
BHF,87.46690203000877
TME,87.42393509127784
ORLA,87.41418764302058
STRT,87.37044145873318
FNV,87.32638888888894
MURGY,87.3239436619718
PBI,87.30964467005069
BAP,87.28789186079956
CNSWF,87.27006648446431
SE,87.22997514815522
CCHGY,87.20568636161707
PRPO,87.18446601941747
BCH,87.15953307392994
EXE,87.12697483908717
CAH,87.10618436406052
VRSN,87.08586883029068
NFG,87.0772946859904
SWDBY,87.05882352941177
NTES,87.01234567901236
HCMLY,86.97674418604662
SSYS,86.9706840390879
ASTE,86.92628650904037
URBN,86.88266750550488
DNKEY,86.87350835322194
IPI,86.84210526315793
WRB,86.80000000000001
PUK,86.77248677248684
HKXCY,86.72680412371132
SNEX,86.72340425531914
DRS,86.68032786885249
RBA,86.64451827242523
MELI,86.55445188547802
RTX,86.43259644560032
SRBK,86.41975308641972
AONC,86.31239935587762
CSGS,86.26168224299067
TBPH,86.231884057971
HSBC,86.18376928236086
EPR,86.16236162361622
RBC,85.97863697908825
DANOY,85.9315589353612
NIC,85.92734225621416
RSG,85.89195491643994
AHR,85.80990629183401
JAPSY,85.78680203045687
OR,85.74610244988864
CGNT,85.71428571428578
TLGPY,85.71428571428564
LTBR,85.70736434108525
SKE,85.62231759656649
HOOD,85.61983471074379
USAU,85.58225508317929
FOXA,85.45258620689656
FCFS,85.39249146757686
AAMI,85.35714285714286
PLMR,85.27883616210597
PRCH,85.21256931608133
PHAR,85.20408163265303
RRC,85.17618469015797
BZ,85.02673796791441
BVN,84.9872773536896
NPSNY,84.96732026143788
NTGR,84.93273542600895
XYF,84.90813648293963
AEM,84.8837209302326
FOX,84.77508650519025
SII,84.77321814254856
TKOMY,84.7708894878706
GPOR,84.77047146401985
CVNA,84.70037453183522
DASH,84.69292076887008
DCTH,84.67836257309938
UVE,84.66257668711651
NAGE,84.59259259259261
RBKB,84.54106280193241
TGTX,84.49999999999999
LOMA,84.49999999999994
LLYVA,84.48519040902679
TITN,84.48023426061495
HCI,84.44681988241584
RYAAY,84.40797186400938
BCS,84.39999999999998
NCSM,84.39661798616449
TOST,84.3609022556391
SAP,84.34456928838952
CTRN,84.30286241920595
NXT,84.2627960275019
BNTC,84.21052631578947
IBM,84.18112906443251
BYDDF,84.1626213592233
AGI,84.14179104477614
IBDRY,84.13284132841324
BNPQY,84.11386593204773
BASE,84.09090909090911
BKTI,84.0670859538784
YMM,84.0625
ESE,84.05345211581287
SSBK,83.98203592814363
QNTM,83.80281690140846
GHC,83.79233479542673
ACNT,83.75634517766497
TXNM,83.70253164556961
DRVN,83.68794326241141
LYV,83.67003367003369
BWB,83.64055299539169
CCEC,83.46368715083801
CYBR,83.34525683216485
GFI,83.33333333333333
PERI,83.28981723237597
CTAS,83.24924318869832
CXW,83.21428571428567
BLX,83.10580204778154
AMADY,83.10463121783877
PSMT,83.0774479699761
ARQT,83.0423940149626
CAAP,82.98319327731095
BKNG,82.95939449941338
ASND,82.87615974183133
RNMBY,82.70526213023527
JFIN,82.6985854189336
AR,82.60869565217394
ULTA,82.57868354014299
CFRUY,82.57142857142858
TGLS,82.56062767475035
VLGEA,82.55659121171769
SIEGY,82.34735843087631
AZEK,82.32876712328768
ERJ,82.22923238696112
LLYVK,82.21771467207574
LOAR,82.13533130414422
ATEC,82.10227272727275
SSRM,82.08955223880601
HBCP,81.99445983379498
CNL,81.98433420365535
KEN,81.969696969697
EXEL,81.96248196248203
PAC,81.95571955719558
TKO,81.86619718309858
CHKP,81.84639255236615
PLYA,81.81818181818211
CYD,81.81818181818178
ING,81.73913043478255
GBNY,81.73515981735164
GT,81.67330677290835
APEI,81.65024630541872
BBIO,81.61993769470406
UFCS,81.59203980099505
NYAX,81.54803040774016
ACHR,81.50851581508513
MYFW,81.48734177215188
CPRX,81.447963800905
TELNY,81.43322475570032
JOYY,81.33561643835604
NATH,81.29890453834109
THFF,81.24018838304549
ITRN,81.19402985074622
FUTU,81.15866388308977
KTOS,81.12189859762677
EQT,81.11285266457678
GNTY,81.10882956878848
CSV,81.06060606060595
LQDA,81.05515587529975
PLTR,81.04257167680277
WMT,81.00649350649348
TRP,80.92672413793102
SDGR,80.91042584434655
ADYEY,80.76923076923079
CVLT,80.71698953462484
WRLD,80.57833405265431
EADSY,80.39430449069005
MO,80.37383177570081
BOTJ,80.33333333333334
LSBK,80.28169014084511
MT,80.22922636103152
BSAC,80.20134228187914
MGIC,80.10899182561306
AU,80.08255933952528
THG,80.07600434310538
XIACY,80.05159071367152
CDTX,80.02350176263221
SSREY,80.0166527893422
VIRT,79.97997997997999
MGYR,79.91631799163179
BBUC,79.90373044524668
RYTM,79.87913259864912
RIVN,79.81818181818183
TLN,79.80754544065985
EAT,79.80270857716097
VSEC,79.55776173285199
KBCSY,79.48523845571536
TTWO,79.3623520427644
BHKLY,79.19725893294176
WMB,79.18015102481121
VEEV,79.16264478764478
TRV,79.13294797687865
WELL,79.1294209094442
GFL,78.65853658536584
QFIN,78.59806114839674
BABA,78.5810810810811
FFIV,78.4546805349182
FEIM,78.45220030349014
CNM,78.43137254901958
TCEHY,78.4041630529055
VEON,78.35717581910475
CRWD,78.32336643441049
MIELY,78.3171521035599
EQH,78.25311942958999
GHRS,78.25059101654847
MDWD,78.23042647994905
HMN,77.90055248618789
OLLI,77.7171937477281
BROS,77.5519421860885
DBD,77.48226950354612
MMM,77.23523589574397
SPOT,76.81311655096825
HSAI,76.57864523536165
SGAPY,76.02339181286546
ESLT,75.88630806845964
SGI,75.78947368421052
NC,75.77092511013224
AMBR,75.6637168141593
GH,75.34097108565193
PLPC,75.21066039584561
