Symbol,Nr_Of_Spikes
ACHR,1
ADPT,1
AKRO,1
ANGO,1
ATGE,1
ATRO,1
ATROB,1
AXON,1
BCRX,1
BMI,1
BVN,1
CAR,1
CCB,1
CCHGY,1
CLBR,1
CMP,1
COE,1
CPS,2
CTRN,1
DAVE,1
DBSDY,1
DMYY,1
DOMO,1
DRVN,1
DUOL,1
EVRI,1
EXEL,1
FROG,1
FTK,2
GME,1
GOGO,1
GRPN,1
HCSG,2
HIMS,1
HNRG,2
IBEX,1
IDT,1
IPI,1
IRTC,1
KAR,1
KARO,1
KEP,1
LEU,1
LSBK,1
LTBR,1
MIR,1
NEON,1
NRG,1
NTES,1
NTNX,1
NXT,1
ODC,1
ODD,1
OPOF,1
PODD,1
PPTA,1
PRCH,1
PRDO,1
PRPO,1
QBTS,1
QNTM,1
RBKB,1
RDVT,1
SDGR,1
SEZL,1
SKWD,1
SNOW,1
SRBK,1
SSYS,1
SXT,1
TBPH,1
TME,1
TPB,1
TTMI,1
UI,1
UVV,1
VEEV,1
WTS,1
X,1
XPEV,1
ZS,1
