Symbol,Price_Increase_Percentage
CNSWF,inf
QBTS,2533.5776149233848
FNCH,1340.9090909090908
UPXI,1087.2698579694897
AONC,1074.2574257425742
SEZL,1073.8260869565217
AMBR,1068.7499999999998
PRCH,1061.9047619047617
OKLO,1005.4205607476636
AEVA,893.1818181818181
MTEN,822.2222222222223
QNTM,781.8111111111111
DAVE,698.9756269869305
LTBR,690.1785714285713
NEON,689.4736842105264
ALMU,674.0
SNWV,663.3735312306741
SPCB,643.1372549019608
VRNA,624.6025104602511
HSAI,586.9318181818181
PLTR,537.2114931700423
NAGE,486.9848156182212
OPFI,482.2036124794746
HOOD,456.5092989985693
HIMS,441.7965850037119
CNL,433.3333333333333
ROOT,432.13866039952995
MSTR,430.2734375
XYF,423.8095238095238
QURE,414.2091152815013
ACHR,393.51201871942135
SVT,386.02484472049696
PVLA,372.09677419354836
JFIN,361.27750000000003
LEU,355.7296329453895
FTK,337.20316622691297
RNMBY,334.5149807178879
HRTG,333.87622149837136
GRPN,332.5161290322581
FNMAS,329.36288088642664
BKTI,314.9957155098543
XIACY,313.12499999999994
XPEV,311.51515151515156
HNRG,305.54721096273744
COE,304.5897079276773
AGX,288.1630725641429
ORLA,283.6419753086419
AS,280.90999010880313
DUOL,275.68424681144427
SKE,270.7317073170732
RBRK,263.44389555398726
PPTA,258.48303393213575
ADPT,255.51839464882943
CVNA,251.2543728135932
GHRS,241.66666666666666
EAT,241.60298560511814
UI,237.9692219185963
GEV,233.79108059462706
LFMD,232.08020050125313
CRK,223.64341085271323
BROS,222.25519287833825
FARO,215.38461538461542
SE,213.9090909090909
CYD,209.97624703087885
SSRM,208.56481481481478
TGTX,206.59630606860156
USAU,205.52016985138005
PRPO,201.53846153846155
OPOF,198.39416058394164
MP,196.60678642714572
GBFH,195.62982005141387
BNTC,194.32253570184602
AXON,189.097555730772
LMB,186.5476437616774
DCTH,183.9563862928349
TPC,183.44827586206898
RDUS,181.1731315042573
GRND,180.78212290502796
CDTX,180.27613412228797
RBLX,179.80238302818952
CMP,179.2276964047936
TLN,179.07614213197968
AKRO,177.83063748810656
CCRD,175.88591184096802
QFIN,169.93932708218423
CRS,169.5387201849322
STRT,169.35866983372924
ATEC,169.15983606557376
UTI,165.88579795021963
TPB,165.14211042143089
IRTC,164.5922746781116
GH,162.76067527308837
NET,162.50360958706324
TPR,157.87680953732615
CPS,157.76277724204436
FRHC,157.3734001112966
SRAD,157.2139303482587
APEI,156.94915254237287
ADMA,154.78908188585612
ARQT,153.93419170243203
CTRN,153.69963369963372
FUTU,152.66409266409266
BTSG,151.92118226600982
AHR,151.39664804469274
NRG,149.31654123790508
SPOT,149.19984725934668
LOMA,149.03339191564146
ZLAB,148.40724547158027
RDVT,147.93789422610385
ESLT,146.9594980034227
ANGO,146.800731261426
DOMO,146.75540765391014
CHWY,146.1772151898734
KARO,145.58139534883722
SFM,145.48152144591313
NCSM,144.96855345911953
LLYVA,144.71419791026426
CRWD,144.60933220457147
LLYVK,143.7611940298507
FEIM,143.61948955916475
ODD,142.09721797615407
LINC,140.55666003976143
BYDDF,140.55533828705512
CAR,140.5330372015547
CCB,139.7983114446529
ATRO,138.85350318471333
PAY,138.72491145218416
PBI,138.3116883116883
TGI,135.78564940962764
LQDA,134.98789346246974
CXW,132.68156424581002
KTOS,131.53992183137913
DAN,131.39841688654352
HWM,130.70415202394898
VEON,130.34373765310153
TDS,130.22346368715085
NTGR,128.788977519942
EXEL,128.6985018726592
PLMR,127.57862042189726
EYE,127.30125523012552
NYAX,127.1294928606598
TTMI,126.94990488268864
MIR,126.67398463227222
CIXXF,125.46523016650339
ATROB,125.43741588156125
ATGE,125.0200738718484
ERJ,124.2868462757528
URBN,123.86296515062018
STRL,123.28342245989306
MLYS,123.05825242718444
DASH,122.39226741844544
KGC,121.66666666666669
ACMR,120.90843547224227
TGLS,120.66438690766978
LKNCY,120.0810185185185
SWTX,119.78021978021978
SLNO,119.30679664229622
AU,117.35201084500679
CFSB,117.35015772870663
AXSM,117.01762595538916
ROAD,116.8894053844664
NFLX,115.11481330062688
REVG,114.02042711234914
TOST,113.69606003752347
GOGO,113.29357039822364
SSYS,112.89256198347108
DB,112.18978102189783
IBEX,111.74917491749174
HCI,110.9038737446198
LBRDK,110.61158363710003
FTNT,110.40864944108483
SNEX,109.28279129872926
SSTI,108.4763948497854
LPLA,108.46733265665902
YMM,107.95795795795794
ESQ,107.67849124382577
BABA,106.72701949860726
AVGO,106.5603112840467
AGI,106.52898067954698
VIRT,106.4844835572024
LBRDA,106.12039460438896
IDT,105.88061465721039
MRCY,105.21344918775975
ODC,104.68272819816764
NXT,104.30003233107014
ONC,103.72231264595568
GFI,103.08166409861323
BZ,103.02743614001892
IDCC,102.73553574549904
GWRE,102.61739799846035
X,101.56075808249723
TYIDY,101.4287862836517
SNOW,100.53206384766173
TME,100.0
DRS,99.9560052793665
ZS,99.92179863147605
AEM,99.84234589311053
ALNT,98.93554109994086
ESP,98.82926829268291
RIVN,98.52631578947367
JOYY,98.38593974175038
HKXCY,97.03703703703704
FROG,96.85726756874728
KFS,96.03399433427762
BAESY,95.44402918668801
NTDOY,95.39823008849555
SKWD,94.64392579293835
PLYA,94.22446043165466
LOAR,93.53398058252428
MAG,93.3569530558016
NTNX,92.29527104959631
PAYC,91.9426523297491
GILD,91.3848117421825
GME,91.19060331019755
EQT,91.10592938041306
BCRX,91.0472972972973
PODD,90.36416184971098
TITN,90.32520325203251
IMAX,90.22757697456495
VSEC,90.17175572519082
FFIV,90.07712394485942
LI,89.90825688073392
PHAR,89.62406015037591
MYTAY,89.35698447893571
ULS,89.16601714731098
ITRN,88.34991708126036
IPI,88.0453121234032
MDWD,87.79342723004696
EVRI,87.76455026455028
CGNT,87.76167471819646
GBNY,87.16683119447185
JBL,87.15567612687812
SENEA,86.88936088047888
CHEF,86.87833661140769
NWG,86.66666666666669
PM,85.92944506216516
MTZ,85.58248110271232
RL,85.51551679917925
ESE,85.11981066955921
BBIO,84.32007400555041
ONIT,84.24107142857146
WPM,83.27559661277907
CYBR,83.04347826086956
ADYEY,82.93135435992579
OR,82.53968253968256
CIHKY,82.25274725274727
TFPM,81.92252510760402
LYV,81.71869600276466
OSIS,81.59931877999689
FOX,80.26876433956079
CPRX,80.20338983050847
RYTM,79.66580976863754
FOXA,79.30402930402933
BCS,79.2527040314651
CW,79.01487347884874
SLM,78.18463125322329
OMAB,78.08056872037913
COOP,78.04347826086955
TTWO,78.03904170363796
TKO,77.73918221516473
NRIM,77.447216890595
BKNG,77.34905660377358
CAKE,76.53731343283582
CIVB,76.47058823529413
CBNK,76.40102827763498
CSV,75.77399380804954
UFCS,75.72062084257206
BPMC,75.5750273822563
LFCBY,75.43731778425655
UNM,74.61761058288549
MIELY,74.2777997625643
AR,73.76681614349775
EXE,73.66898148148148
