Symbol,Volume-Acceleration(%)
ACHR,99.26
ACNT,268.66
AEVA,312.76
AGX,74.75
ALMU,715.40
AMBR,82.43
APEI,72.38
AS,69.22
ATROB,72.63
ATRO,94.19
AXAHY,59.88
BAESY,88.70
BBUC,65.49
BCH,51.23
BCRX,76.47
BFC,291.63
BHF,93.01
BH,417.92
BMI,54.21
BPMC,336.00
BWB,90.46
BYDDF,66.61
CAR,91.76
CBNK,109.18
CDTX,124.59
CFSB,336.53
CLBR,415.55
CNL,312.49
COOP,60.15
CPS,115.48
CYD,116.55
DANOY,60.42
DAVE,64.31
DMYY,391.59
DOMO,53.45
EADSY,62.45
ESLT,240.80
ESP,104.36
ESQ,62.40
EYE,98.67
FARO,374.30
FEIM,123.99
FER,116.61
FTK,202.25
GBFH,187.43
GOGO,97.00
GRND,120.63
GTX,96.01
HBCP,139.39
HIMS,273.91
HNRG,59.76
HOOD,94.68
HSAI,188.61
IBEX,55.14
IFS,83.36
IPI,75.02
JFIN,76.10
KEN,60.91
KEP,114.25
LEU,93.52
LFMD,135.78
LINC,100.76
LOAR,127.92
LQDA,75.57
LTBR,113.74
MAG,133.19
MGYR,63.25
MIR,53.67
MLYS,107.66
MP,155.20
MUFG,86.99
MYFW,130.53
NAGE,71.62
NATH,237.63
NEU,108.28
NRDBY,88.35
NRIM,117.63
NWG,99.41
NYAX,120.33
ODD,83.03
OKLO,135.20
ONIT,60.20
OPFI,77.12
ORLA,90.89
PAAS,50.75
PAY,93.88
PLMR,87.32
PLPC,236.31
PPTA,167.16
PRCH,60.39
QBTS,210.57
RDUS,188.39
RDVT,141.80
RNMBY,166.02
SEZL,113.24
SGAPY,51.23
SII,112.91
SKE,51.97
SMSMY,146.14
SNEX,102.20
SNWV,318.30
SONY,79.93
SRAD,221.56
SRBK,60.50
SSBK,74.46
STN,57.95
STRT,93.08
SVT,592.31
SWTX,425.89
SXT,111.86
TFPM,96.59
TIGO,199.52
TPB,57.58
TPC,76.14
TXNM,94.04
UPXI,722.00
USAU,187.03
UTI,80.45
UVV,53.59
VEON,153.55
WTS,54.18
XIACY,76.82
XYF,325.91
