Symbol,Price_Increase_Percentage,Screeners,Nr_Of_Spikes,MVP_Last_6Mo,RSI_3M,RSI_6M,Price_Tightness_1W,IBD_RSI,RSI_12M,Volume-Acceleration(%)
CNSWF,inf,5,,,87.27006648446431,87.27006648446431,100.0,72,91.5780436468372,
QBTS,2533.5776149233848,7,1,,88.50758180367119,88.50758180367119,19.592808038075095,99,88.50758180367119,210.57
FNCH,1340.9090909090908,5,,,72.34636871508378,93.11023622047244,2.654545454545456,96,96.6996699669967,
UPXI,1087.2698579694897,6,,,90.14880952380952,90.14880952380952,25.43171114599686,98,90.14880952380952,722.00
AONC,1074.2574257425742,5,,,86.31239935587762,91.19496855345913,32.546374367622256,98,91.19496855345913,
SEZL,1073.8260869565217,8,1,1,97.51945525291829,97.51945525291829,21.646047855396706,99,97.51945525291829,113.24
AMBR,1068.7499999999998,7,,1,75.6637168141593,82.04449152542374,18.43971631205674,98,97.8494623655914,82.43
PRCH,1061.9047619047617,7,1,,85.21256931608133,85.21256931608133,20.342034203420344,99,88.73873873873872,60.39
OKLO,1005.4205607476636,7,,1,90.99125364431488,90.99125364431488,23.24075651729426,99,90.99125364431488,135.20
AEVA,893.1818181818181,7,,1,97.07357859531773,97.07357859531773,24.027459954233407,99,97.07357859531773,312.76
MTEN,822.2222222222223,5,,,95.84120982986768,95.84120982986768,15.524268247499066,97,99.10714285714286,
QNTM,781.8111111111111,6,1,,83.80281690140846,94.7242206235012,16.230031948881795,98,94.7242206235012,
DAVE,698.9756269869305,8,1,1,99.58613554061044,99.58613554061044,12.962553605376009,99,99.58613554061044,64.31
LTBR,690.1785714285713,7,1,,85.70736434108525,85.70736434108525,18.231555810397555,99,89.10012674271229,113.74
NEON,689.4736842105264,6,1,,87.98283261802572,87.98283261802572,7.063197026022302,95,87.98283261802572,
ALMU,674.0,7,,1,95.26387009472258,95.26387009472258,27.286821705426362,99,96.27367135003054,715.40
SNWV,663.3735312306741,6,,,87.84829721362232,83.15018315018314,17.771883289124666,98,86.61367717006688,318.30
SPCB,643.1372549019608,5,,,88.47457627118645,88.47457627118645,28.977845930349854,98,88.47457627118645,
VRNA,624.6025104602511,5,,,93.70529327610869,93.70529327610869,5.924471647996316,98,93.70529327610869,
HSAI,586.9318181818181,6,,,76.57864523536165,76.57864523536165,12.280701754385964,98,92.67441860465117,188.61
PLTR,537.2114931700423,5,,,81.04257167680277,91.2712233347845,12.071259609698402,98,94.07582938388626,
NAGE,486.9848156182212,6,,,84.59259259259261,84.59259259259261,20.103473762010342,98,90.80459770114943,71.62
OPFI,482.2036124794746,6,,,89.74358974358974,94.04761904761904,13.83963791886393,97,94.04761904761904,77.12
HOOD,456.5092989985693,6,,,85.61983471074379,85.61983471074379,15.964010282776353,98,89.91756499682943,94.68
HIMS,441.7965850037119,7,1,,93.18971507991661,96.65871121718378,23.036960071248334,97,96.65871121718378,273.91
CNL,433.3333333333333,6,,,81.98433420365535,94.12955465587045,10.583333333333329,98,94.12955465587045,312.49
ROOT,432.13866039952995,5,,,73.90238466681522,90.70076877587226,17.012691181256102,97,94.19145921878162,
MSTR,430.2734375,5,,,98.17460317460323,98.17460317460323,7.723093290103601,96,98.17460317460323,
XYF,423.8095238095238,6,,,84.90813648293963,85.67901234567901,11.363636363636363,98,91.97530864197529,325.91
QURE,414.2091152815013,5,,,90.13732833957552,90.13732833957552,21.501706484641627,97,90.67865903515946,
