Symbol,IBD_RSI
DAVE,99
PRCH,99
SEZL,99
OKLO,99
AEVA,99
QBTS,99
LTBR,99
ALMU,99
PLTR,98
XYF,98
CNL,98
HSAI,98
VRNA,98
HOOD,98
NAGE,98
RNMBY,98
FTK,98
LEU,98
AONC,98
SPCB,98
SNWV,98
AMBR,98
JFIN,97
CVNA,97
ORLA,97
OPFI,97
HIMS,97
AGX,97
QURE,97
ROOT,97
ACHR,97
COE,97
FARO,96
MSTR,96
FNMAS,96
FNCH,96
BKTI,96
LMB,96
SKE,96
GEV,96
CFSB,96
XIACY,96
RBLX,96
DUOL,96
PPTA,96
NET,96
HRTG,96
AS,96
SSRM,96
ADPT,96
USAU,96
HNRG,96
PRPO,95
NEON,95
AXON,95
ODD,95
GRND,95
UI,95
NRG,95
CCRD,95
AKRO,95
CRK,95
OPOF,95
DOMO,95
CRS,94
AU,94
SPOT,94
SE,94
ESP,94
IRTC,94
ESLT,94
EAT,94
SRAD,94
MIR,94
SLNO,94
TLN,94
TTMI,94
BNTC,94
GBFH,94
LINC,93
LKNCY,93
REVG,93
TPB,93
BTSG,93
ZS,93
BROS,93
NYAX,93
MAG,93
NTGR,93
DCTH,93
NFLX,93
UTI,93
KTOS,93
PVLA,93
XPEV,93
CHWY,93
GWRE,93
KGC,93
HWM,93
CYD,93
ATRO,93
ATROB,93
AHR,92
PLMR,92
DRS,92
ATGE,92
X,92
CDTX,92
KARO,92
LQDA,92
ROAD,92
GH,92
GFI,92
ODC,92
MYTAY,92
BCRX,92
URBN,92
ANGO,91
ULS,91
QFIN,91
OR,91
LLYVA,91
RDVT,91
AVGO,91
IBEX,91
LLYVK,91
SNOW,91
STRT,91
MP,91
TFPM,91
CW,91
DB,91
DASH,91
CRWD,91
ZLAB,91
TGTX,91
TOST,91
SFM,91
VEON,91
PAY,91
NWG,90
MTZ,90
HCI,90
HKXCY,90
GE,90
CIXXF,90
TGI,90
CLBR,90
MRCY,90
IPI,90
TGLS,90
AEM,90
CCB,90
BYDDF,90
WPM,90
FRHC,90
IDT,90
JBL,90
PBI,90
ESQ,90
TPR,90
FEIM,90
IDCC,89
CHEF,89
SNEX,89
CYBR,89
MGIC,89
VRSN,89
PM,89
CGNT,89
PAYC,89
NTDOY,89
EXEL,89
RYTM,89
NTES,89
ESE,89
APEI,89
OSIS,89
BCS,89
COOP,89
ADMA,88
DAN,88
SPNT,88
PAAS,88
LPLA,88
SKWD,88
AGI,88
NPSNY,88
JCI,88
PODD,88
DMYY,88
TIGO,88
NCSM,88
VIRT,87
LBRDA,87
BH,87
CVLT,87
CIHKY,87
BHKLY,87
LBRDK,87
NATH,87
FORTY,87
SAP,87
FFIV,87
PLYA,87
CCHGY,87
LI,87
BBVA,87
ISBA,87
PRDO,87
CAH,87
PAC,87
RL,87
CXW,86
CPRX,86
ASND,86
ONIT,86
ONC,86
SONY,86
DSDVY,86
VSEC,86
FUTU,86
SGAPY,86
MELI,86
IFS,86
EQT,86
CAKE,86
NRIM,86
LOMA,86
BBIO,86
UVE,86
FNV,86
ISNPY,86
FRFHF,85
LYV,85
NFG,85
ADYEY,85
FMS,85
BTI,85
KEN,85
SENEA,85
YMM,85
BKNG,85
EBAY,85
SLM,85
TKO,85
SMSMY,85
DRI,85
TTWO,85
EXE,85
VEEV,85
JOYY,84
DGICB,84
CSV,84
RBKB,84
UGI,84
LFCBY,84
TDS,84
DNKEY,84
SIBN,84
SBS,84
LAUR,84
GILD,84
AXAHY,84
TXNM,84
GBNY,84
IBDRY,84
AAMI,84
CAE,84
CSGS,83
HDB,83
SENEB,83
ERJ,83
SRBK,83
USFD,83
BABA,83
KBCSY,83
CTVA,83
TLGPY,83
BNPQY,83
FTNT,83
EHC,83
IBM,83
CBNK,83
KAR,83
DRVN,83
CICHY,82
GTPS,82
SGI,82
AER,82
BHF,82
UNM,82
ORANY,82
SSYS,82
PSMT,82
ARQT,82
AR,82
AXS,82
RGLD,82
HSBC,82
KT,82
IMAX,82
T,81
DTEGY,81
SCHW,81
EVRI,81
BCH,81
TT,81
FOXA,81
MGYR,81
ALIZY,81
BFC,81
BMI,81
BLX,81
CIVB,81
BK,81
UBOH,81
TELNY,81
BBUC,81
CM,81
EQH,81
OLLI,81
BWFG,81
DE,80
TCEHY,80
ACNT,80
BAP,80
TBPH,80
WMB,80
EPR,80
WRB,80
PLPC,80
NTNX,80
NC,79
FOX,79
WTS,79
SPR,79
GPOR,79
V,79
WMT,79
NTB,79
RBC,79
SSREY,79
BSAC,79
ITRN,79
ADRNY,78
NIC,78
HBCP,78
CHKP,78
SIEGY,78
RBA,78
MCK,78
MUFG,78
SLF,78
AM,78
CAAP,77
DBD,77
ING,77
DANOY,77
BMO,77
RTX,77
LOPE,77
GNTY,77
CCEC,77
MURGY,77
THFF,76
WELL,76
VLGEA,76
CIB,76
LZAGY,76
MA,76
RSG,76
GFL,76
SWDBY,76
CPBI,76
UVV,75
THG,75
DBSDY,75
AMADY,75
NRDBY,75
EADSY,74
SSTI,74
RPRX,74
FAST,74
UFCS,74
CHTR,74
MKL,74
CFRUY,74
MT,74
PCLB,73
HCMLY,73
CTAS,73
RRC,73
TRP,73
BWB,73
FHI,73
NI,73
PAYX,72
GHC,72
LSBK,72
CNSWF,72
AXSM,72
ICE,72
HMN,72
ENB,72
MMM,72
ESLOY,72
ADP,72
KRYAY,72
SSBK,71
TRV,71
ABT,71
MYFW,71
BOTJ,69
FYBR,69
CNH,69
TIPT,68
PBH,68
HG,67
MO,67
SWTX,65
