Symbol,Price_Increase_Percentage
MULN,3674926401.47
ACON,20882321.50
SEELQ,18399900.00
IONM,13660000.00
EGIOQ,12639900.00
NEXI,7049800.00
AWIN,4599900.00
RGFC,4409900.00
SMFL,4389900.00
CRKN,4152388.57
MMATQ,3708000.00
CLVR,3549900.00
MONDQ,3169900.00
CONNQ,2919900.00
BIMI,2429900.00
NUVOQ,2329900.00
ADTX,2029750.75
DZSIQ,1749900.00
MTEMQ,1709900.00
TUPBQ,1629000.00
RAASY,1599900.00
XELA,1579900.00
NHIQ,1549900.00
EFTR,1469900.00
TBLT,1399900.00
SHPWQ,1309900.00
BIGGQ,1294900.00
NVOS,1219900.00
HPCO,1199900.00
DLAPQ,1119800.00
IDEXQ,1079900.00
SPEC,1069900.00
ZLSSF,1014445.45
NTBLQ,985100.00
ALPP,926600.00
STBXF,866761.85
ZPTA,830200.00
SBNY,826566.67
LSDIF,808100.00
CTHR,787400.00
CZOOF,749900.00
LGMK,749900.00
WHLR,640615.57
BETSF,624900.00
GROM,609700.00
SPIEF,583233.33
CAUD,569900.00
THMO,554700.00
JEWL,549900.00
NYMXF,549900.00
UPHL,549900.00
AAGR,540000.00
VEVMQ,519900.00
GPAK,519900.00
VAXX,499900.00
HEPA,494344.44
WTER,479900.00
SHWZ,476900.00
AMPE,449900.00
GNLN,427350.98
NCNCF,374700.00
DMTKQ,348900.00
CSSEQ,339900.00
PXMD,324700.00
DMNIF,324616.67
DGLY,321143.52
EMWPF,289900.00
VIAOY,279900.00
NMHI,278643.31
SCPX,268338.54
DXF,268011.11
EGRX,254700.00
ELIQQ,247200.00
EBET,234500.00
YTENQ,232900.00
TCBPY,225900.00
AFIB,219900.00
PLRZ,218081.82
ARVLF,199900.00
ZVOI,199900.00
SRAX,199850.00
FUVV,196900.00
PITEF,196869.70
CDT,190919.45
PTPI,187995.24
AKTSQ,179900.00
AIEV,179900.00
SUNE,176421.74
STIXF,169900.00
ETAOF,161900.00
ELMSQ,159900.00
RIBT,159900.00
DBGI,158401.44
ELYS,155700.00
TRNR,151658.61
COMS,148900.00
DCFCQ,145733.33
WINT,141373.24
TSPH,139900.00
BRSHF,129900.00
FMTO,125874.03
BBIG,124900.00
ASPU,124850.00
CUEN,120033.33
FRCB,119900.00
NEPTF,119900.00
PRST,118700.00
SLNAF,118200.00
AILEQ,110900.00
FFNTF,109900.00
KWE,109204.56
SECOY,107800.00
UPC,103166.41
AEYGQ,99900.00
TIOG,99900.00
MOTS,99400.00
FRBKQ,98900.00
VRPX,94066.67
XHG,92923.26
SRNE,92400.00
RBTC,89900.00
ZEVY,89900.00
MFLTY,89800.00
SVUHF,89743.75
STSS,86328.63
CETX,83864.99
GGAAF,83233.33
WTO,82900.00
ARDS,79900.00
ACAN,78800.00
ZAPPF,76460.00
LUXH,75083.70
VINOQ,74652.48
GOEVQ,74174.41
AEON,71707.41
