Symbol,Date,Eps,Revenue
ACIC,2024-12-31,0.1,79.267
ACIC,2024-09-30,0.59,82.136
ACIC,2024-06-30,0.4,68.656
ACIC,2024-03-31,0.5,73.204
ACIC,2023-12-31,0.32,58.214
ACIC,2023-09-30,0.24,58.714
ACIC,2023-06-30,0.42,79.295
ACIC,2023-03-31,6.05,104.047
ACIC,2022-12-31,-6.84,113.475
ACIC,2022-09-30,-1.65,123.788
ACIC,2022-06-30,-1.6,115.793
ACIC,2022-03-31,-0.77,102.366
ACIC,2021-12-31,-0.05,154.544
ACIC,2021-09-30,-0.33,162.74
ACIC,2021-06-30,-0.55,155.454
ACIC,2021-03-31,-0.41,161.789
ACIC,2020-12-31,-0.79,241.222
ACIC,2020-09-30,-1.73,212.733
ACIC,2020-06-30,0.57,216.397
ACIC,2020-03-31,-0.3,176.304
ACIC,2019-12-31,-0.19,210.421
ACIC,2019-09-30,-0.66,207.598
ACIC,2019-06-30,-0.07,204.776
ACIC,2019-03-31,0.22,202.321
ACIC,2018-12-31,-0.26,181.089
ACIC,2018-09-30,-0.27,187.652
ACIC,2018-06-30,0.34,183.148
ACIC,2018-03-31,0.2,180.127
ACNT,2024-12-31,-0.1,40.671
ACNT,2024-09-30,-0.61,42.901
ACNT,2024-06-30,-0.09,50.189
ACNT,2024-03-31,-0.54,44.11
ACNT,2023-12-31,1.1,8.982
ACNT,2023-09-30,-1.77,56.113
ACNT,2023-06-30,-1.44,60.665
ACNT,2023-03-31,-0.51,82.452
ACNT,2022-12-31,0.01,81.56
ACNT,2022-09-30,0.06,100.167
ACNT,2022-06-30,1.08,116.202
ACNT,2022-03-31,1.0,116.218
ACNT,2021-12-31,0.85,95.668
ACNT,2021-09-30,0.88,86.182
ACNT,2021-06-30,0.31,83.087
ACNT,2021-03-31,0.12,69.778
ACNT,2020-12-31,-0.94,55.901
ACNT,2020-09-30,-1.16,59.266
ACNT,2020-06-30,-0.77,66.136
ACNT,2020-03-31,-0.13,74.697
ACNT,2019-12-31,-0.1,67.946281
ACNT,2019-09-30,-0.11,73.639911
ACNT,2019-06-30,-0.03,78.777976
ACNT,2019-03-31,-0.1,84.803832
ACNT,2018-12-31,0.06,72.674176
ACNT,2018-09-30,0.57,77.792878
ACNT,2018-06-30,0.42,71.893763
ACNT,2018-03-31,0.44,58.480602
ACR,2024-09-30,0.37,25.155
ACR,2024-06-30,0.22,20.936
ACR,2024-03-31,0.07,24.603
ACR,2023-12-31,0.2,22.445
ACR,2023-09-30,0.34,24.006
ACR,2023-06-30,0.1,23.622
ACR,2023-03-31,-0.28,21.803
ACR,2022-12-31,-0.85,23.241
ACR,2022-09-30,0.08,22.806
ACR,2022-06-30,0.08,20.07
ACR,2022-03-31,-0.3,10.923
ACR,2021-12-31,0.76,15.445
ACR,2021-09-30,-1.03,12.096
ACR,2021-06-30,1.04,9.839
