Symbol,Price_Increase_Percentage
CNSWF,inf
QBTS,2533.5776149233848
FNCH,1340.9090909090908
AONC,1074.2574257425742
AMBR,1068.7499999999998
PRCH,1061.9047619047617
OKLO,1005.4205607476636
AEVA,893.1818181818181
LTBR,690.1785714285713
NEON,689.4736842105264
ALMU,674.0
SNWV,663.3735312306741
SPCB,643.1372549019608
HSAI,586.9318181818181
NAGE,486.9848156182212
OPFI,482.2036124794746
HOOD,456.5092989985693
HIMS,441.7965850037119
CNL,433.3333333333333
MSTR,430.2734375
PVLA,372.09677419354836
LEU,355.7296329453895
FTK,337.20316622691297
RNMBY,334.5149807178879
HRTG,333.87622149837136
FNMAS,329.36288088642664
XIACY,313.12499999999994
ORLA,283.6419753086419
AS,280.90999010880313
DUOL,275.68424681144427
PPTA,258.48303393213575
ADPT,255.51839464882943
CVNA,251.2543728135932
UI,237.9692219185963
CYD,209.97624703087885
SSRM,208.56481481481478
USAU,205.52016985138005
PRPO,201.53846153846155
OPOF,198.39416058394164
GBFH,195.62982005141387
DCTH,183.9563862928349
CCRD,175.88591184096802
STRT,169.35866983372924
IRTC,164.5922746781116
GH,162.76067527308837
NET,162.50360958706324
FUTU,152.66409266409266
ZLAB,148.40724547158027
ANGO,146.800731261426
DOMO,146.75540765391014
KARO,145.58139534883722
NCSM,144.96855345911953
LLYVK,143.7611940298507
BYDDF,140.55533828705512
PBI,138.3116883116883
TGI,135.78564940962764
KTOS,131.53992183137913
DAN,131.39841688654352
TDS,130.22346368715085
NTGR,128.788977519942
TTMI,126.94990488268864
MIR,126.67398463227222
CIXXF,125.46523016650339
ATROB,125.43741588156125
ERJ,124.2868462757528
TGLS,120.66438690766978
LKNCY,120.0810185185185
SWTX,119.78021978021978
CFSB,117.35015772870663
AXSM,117.01762595538916
ROAD,116.8894053844664
NFLX,115.11481330062688
TOST,113.69606003752347
SSYS,112.89256198347108
LBRDK,110.61158363710003
SSTI,108.4763948497854
AVGO,106.5603112840467
AGI,106.52898067954698
ODC,104.68272819816764
ONC,103.72231264595568
X,101.56075808249723
ZS,99.92179863147605
JOYY,98.38593974175038
HKXCY,97.03703703703704
NTDOY,95.39823008849555
PLYA,94.22446043165466
GILD,91.3848117421825
PODD,90.36416184971098
VSEC,90.17175572519082
LI,89.90825688073392
MYTAY,89.35698447893571
ULS,89.16601714731098
ITRN,88.34991708126036
IPI,88.0453121234032
GBNY,87.16683119447185
JBL,87.15567612687812
MTZ,85.58248110271232
RL,85.51551679917925
ONIT,84.24107142857146
ADYEY,82.93135435992579
OR,82.53968253968256
CIHKY,82.25274725274727
LYV,81.71869600276466
OSIS,81.59931877999689
FOX,80.26876433956079
RYTM,79.66580976863754
CW,79.01487347884874
TTWO,78.03904170363796
NRIM,77.447216890595
BKNG,77.34905660377358
CIVB,76.47058823529413
LFCBY,75.43731778425655
AR,73.76681614349775
EXE,73.66898148148148
MGIC,73.50157728706625
TIPT,72.43589743589743
CLBR,72.1182266009852
DGICB,72.09302325581395
SIBN,71.36752136752138
PRDO,71.03311913000495
CSGS,70.9228824273072
NPSNY,70.91666666666667
CVLT,70.33220820749688
MT,70.07797270955164
MELI,70.05677419354839
BH,69.92297576554576
FMS,69.88287785833799
CCHGY,69.77099236641222
UBOH,68.93732970027247
SGAPY,68.76277057223092
FRFHF,68.63680623174295
BOTJ,68.14595660749507
TCEHY,67.90697674418605
SENEB,67.74308652988404
VRSN,67.51695750478287
ISBA,66.49572649572649
DSDVY,66.27937856858318
PAAS,66.06942889137738
VEEV,65.3421007879372
ASND,64.73129894679988
ISNPY,64.31802076447116
SMSMY,63.88012618296531
PAC,63.70208702769064
DTEGY,62.412896515860616
ALIZY,62.22641509433963
BNPQY,62.115451088835115
SSREY,61.689655172413794
SBS,61.37404580152672
TXNM,61.10798650168727
CFRUY,61.10260336906583
BHKLY,60.72838177251525
RGLD,60.19044437019713
USFD,59.12087912087913
MMM,59.11866476694483
NFG,58.91005091457664
TBPH,58.87096774193547
FORTY,58.775981524249424
CAAP,58.43179377013964
ORANY,58.12500000000001
BMI,57.908367762224835
SIEGY,57.6636087235668
AXAHY,57.60309278350516
MCK,57.404018001335025
NC,57.40373163953949
HSBC,57.01598579040854
SSBK,56.14035087719298
BWB,55.32319391634981
SGI,55.12877442273536
DBSDY,55.06110937010341
KT,54.80916030534353
LOPE,54.77848343408065
BFC,54.5974025974026
RRC,53.719311102968135
EQH,53.59297860669226
MYFW,52.574002574002584
MURGY,51.77610333692143
DNKEY,51.37376879212028
DBD,50.741926098341594
ESLOY,50.33362344067306
TELNY,49.38388625592416
PCLB,49.31751509922348
DMYY,49.23076923076922
UVV,48.99314007523789
CM,48.71249201957862
KBCSY,48.63532700654748
GHC,48.6090775988287
GTPS,47.78325123152709
IBDRY,47.63973928500888
SWDBY,47.51469802244789
AAMI,46.946386946386944
AMADY,46.92147186433941
HBCP,46.78720445062587
TT,46.43971155458663
DANOY,45.74649050371594
ADRNY,45.645543883429326
NRDBY,44.367530412326076
ING,44.29708222811672
SPR,44.14814814814815
BAP,43.765903307888024
LZAGY,43.70588235294119
LSBK,43.64406779661015
EADSY,42.99120234604105
ADP,42.66009426211787
KRYAY,42.48200984724152
PLPC,42.09705531602605
CICHY,41.904047976011995
TLGPY,41.872791519434614
BMO,41.72512340867756
SLF,41.26265890971775
FHI,40.58898847631243
HCMLY,40.490081680280035
MKL,38.40633655929122
CTAS,35.276761477634835
NTB,32.00849514563106
