Symbol,Price_Increase_Percentage,Screeners,MVP_Last_6Mo,IBD_RSI,Nr_Of_Spikes,Volume-Acceleration(%),RSI_12M,RSI_3M,RSI_6M,Price_Tightness_1W
CNSWF,inf,5,,72,,,91.5780436468372,87.27006648446431,87.27006648446431,100.0
QBTS,2533.5776149233848,7,,99,1,210.57,88.50758180367119,88.50758180367119,88.50758180367119,19.592808038075095
FNCH,1340.9090909090908,5,,96,,,96.6996699669967,72.34636871508378,93.11023622047244,2.654545454545456
AONC,1074.2574257425742,5,,98,,,91.19496855345913,86.31239935587762,91.19496855345913,32.546374367622256
AMBR,1068.7499999999998,7,1,98,,82.43,97.8494623655914,75.6637168141593,82.04449152542374,18.43971631205674
PRCH,1061.9047619047617,7,,99,1,60.39,88.73873873873872,85.21256931608133,85.21256931608133,20.342034203420344
OKLO,1005.4205607476636,7,1,99,,135.20,90.99125364431488,90.99125364431488,90.99125364431488,23.24075651729426
AEVA,893.1818181818181,7,1,99,,312.76,97.07357859531773,97.07357859531773,97.07357859531773,24.027459954233407
LTBR,690.1785714285713,7,,99,1,113.74,89.10012674271229,85.70736434108525,85.70736434108525,18.231555810397555
NEON,689.4736842105264,6,,95,1,,87.98283261802572,87.98283261802572,87.98283261802572,7.063197026022302
ALMU,674.0,7,1,99,,715.40,96.27367135003054,95.26387009472258,95.26387009472258,27.286821705426362
SNWV,663.3735312306741,6,,98,,318.30,86.61367717006688,87.84829721362232,83.15018315018314,17.771883289124666
SPCB,643.1372549019608,5,,98,,,88.47457627118645,88.47457627118645,88.47457627118645,28.977845930349854
HSAI,586.9318181818181,6,,98,,188.61,92.67441860465117,76.57864523536165,76.57864523536165,12.280701754385964
NAGE,486.9848156182212,6,,98,,71.62,90.80459770114943,84.59259259259261,84.59259259259261,20.103473762010342
OPFI,482.2036124794746,6,,97,,77.12,94.04761904761904,89.74358974358974,94.04761904761904,13.83963791886393
HOOD,456.5092989985693,6,,98,,94.68,89.91756499682943,85.61983471074379,85.61983471074379,15.964010282776353
HIMS,441.7965850037119,7,,97,1,273.91,96.65871121718378,93.18971507991661,96.65871121718378,23.036960071248334
CNL,433.3333333333333,6,,98,,312.49,94.12955465587045,81.98433420365535,94.12955465587045,10.583333333333329
MSTR,430.2734375,5,,96,,,98.17460317460323,98.17460317460323,98.17460317460323,7.723093290103601
PVLA,372.09677419354836,6,1,93,,,91.4002205071665,67.54596322941646,91.4002205071665,15.410323059784622
LEU,355.7296329453895,7,,98,1,93.52,96.67093469910371,91.06452572108236,91.06452572108236,19.28559735454932
FTK,337.20316622691297,7,,98,2,202.25,96.81668496158068,96.81668496158068,96.81668496158068,18.94990947495474
RNMBY,334.5149807178879,7,1,98,,166.02,95.44198895027627,82.70526213023527,95.44198895027627,8.59190988223246
HRTG,333.87622149837136,5,,96,,,90.44401544401545,89.24731182795699,89.24731182795699,15.503875968992247
FNMAS,329.36288088642664,5,,96,,,93.8095238095238,94.00749063670406,87.81725888324871,15.17781469301963
XIACY,313.12499999999994,6,,96,,76.82,89.92974238875865,80.05159071367152,88.17934782608698,5.95408895265424
ORLA,283.6419753086419,6,,97,,90.89,87.82051282051285,87.41418764302058,87.41418764302058,13.917940466613038
AS,280.90999010880313,6,,96,,69.22,93.66120218579233,93.66120218579233,93.66120218579233,5.963541666666665
DUOL,275.68424681144427,7,1,96,1,,98.24372056514915,98.24372056514915,98.24372056514915,10.136960947621688
PPTA,258.48303393213575,7,,96,1,167.16,89.8243045387994,89.8243045387994,89.8243045387994,21.54788418708241
ADPT,255.51839464882943,6,,96,1,,83.0860534124629,74.90039840637449,74.90039840637449,12.3236124176858
CVNA,251.2543728135932,5,,97,,,92.39750203638339,84.70037453183522,92.39750203638339,9.965000142275839
UI,237.9692219185963,7,1,95,1,,100.0,100.0,100.0,7.047614487827064
CYD,209.97624703087885,6,,93,,116.55,96.61368348306843,81.81818181818178,96.61368348306843,13.60123647604328
SSRM,208.56481481481478,5,,96,,,87.46081504702195,82.08955223880601,85.15624999999999,12.45311327831958
USAU,205.52016985138005,6,,96,,187.03,85.58225508317929,85.58225508317929,85.58225508317929,17.09520500347464
PRPO,201.53846153846155,6,,95,1,,87.18446601941747,87.18446601941747,87.18446601941747,18.622448979591834
OPOF,198.39416058394164,6,,95,1,,94.91298527443102,94.91298527443102,94.91298527443102,4.074534161490685
GBFH,195.62982005141387,7,1,94,,187.43,96.0365853658538,88.80407124681935,88.80407124681935,4.499999999999993
DCTH,183.9563862928349,5,,93,,,92.1241050119332,84.67836257309938,84.67836257309938,9.447004608294925
CCRD,175.88591184096802,6,1,95,,,93.65853658536582,92.99820466786355,92.99820466786355,18.60902255639098
STRT,169.35866983372924,6,,91,,93.08,87.37044145873318,87.37044145873318,87.37044145873318,7.41787354291769
IRTC,164.5922746781116,7,1,94,1,,98.55828983345765,98.55828983345765,98.55828983345765,6.609894566098946
GH,162.76067527308837,5,,92,,,92.95573536411231,75.34097108565193,92.95573536411231,21.46814404432133
NET,162.50360958706324,5,,96,,,93.7812567949554,93.7812567949554,93.7812567949554,10.747483636763649
