"Order","Symbol","Name","Current Price","Price % Chg","Price $ Chg","Volume (1000s)","Vol % Chg vs 50-Day","EPS Rating","RS Rating","Ind Group RS","SMR Rating","A/D Rating","Comp Rating","% Off High","50-Day Avg Vol (1000s)","ETF/Closed-End Fund"
"1","A","Agilent Technologies","144.83","-0.75","-1.09","1674","-16.6","71","69","A","A","B","85","-9.63","2011","No"
"2","AA","Alcoa","63.81","-1.18","-0.76","11655","77.1","28","96","A+","C","A-","88","-4.69","6580","No"
"3","AACB","Artius II Acquisition","10.31","0","0","0","0","37","44","C-","-","B-","39","-0.29","25","No"
"4","AACG","ATA Creativity Global ADR","1.02","0.99","0.01","12","-40.5","63","38","D","D","D-","24","-60.45","20","No"
"5","AAGIY","AIA Group ADR","43.81","0.97","0.42","188","-28.8","56","87","B-","-","B+","-","-0.88","270","No"
"6","AAL","American Airlines Group","15.71","3.76","0.57","71323","25.8","17","84","A-","-","B+","48","-17.75","56690","No"
"7","AAM","AA Mission Acqn Cl A","10.68","0","0","53","-10.1","78","44","C-","-","B-","53","-1.02","62","No"
"8","AAME","Atlantic American","3.01","-0.33","-0.01","14","-47.2","80","91","C-","D","B-","86","-18.87","26","No"
"9","AAMI","Acadian Asset Management","54.52","3.38","1.78","202","-4.4","97","93","B-","A","A-","96","-0.85","222","No"
"10","AAOI","Applied Optoelectronics","37","7.34","2.53","5691","7.7","45","94","A+","C","B","87","-11.82","5285","No"
"11","AAON","AAON","90.04","2.5","2.2","894","-14.6","47","21","B","B","B-","43","-34.71","1047","No"
"12","AAP","Advance Auto Parts","42.72","-0.37","-0.16","1801","6.6","68","19","E","D","E","14","-38.97","1690","No"
"13","AAPG","Ascentage Pharma ADR","27.3","-3.6","-1.02","2","-45.2","5","46","A+","E","E","23","-43.65","4","No"
"14","AAPL","Apple","258.21","-0.67","-1.75","39388","-10.3","84","71","D","A","B-","78","-10.54","43915","No"
"15","AARD","Aardvark Therapeutics","15.35","2.47","0.37","158","-23.4","1","87","A+","-","B+","58","-21.6","206","No"
"16","AAT","American Assets Trust","18.69","1.03","0.19","343","-17.3","47","20","C-","C","D-","20","-26.01","415","No"
"17","AAUC","Allied Gold","27.12","-0.51","-0.14","689","0.3","84","94","A+","B","A+","99","-1.2","688","No"
"18","AB","AllianceBernstein","39.25","0.87","0.34","279","43.1","61","38","B-","-","B-","44","-9.35","195","No"
"19","ABAT","American Battery Tech","4.87","-8.38","-0.45","8083","16.8","43","97","A+","D","A","80","-57.66","6918","No"
"20","ABBNY","ABB ADR","76.36","1.54","1.16","164","-27.5","88","80","A-","-","B","-","-1.07","226","No"
"21","ABBV","AbbVie","216.75","-2.32","-5.14","6954","16.7","44","62","A-","B","B","67","-11.46","5957","No"
